episode,reward,energy_kwh,cost,comfort_penalty,switching_events,no_action_pct,cool_low_pct,cool_medium_pct,cool_high_pct,precool_pct,reduce_hvac_pct,epsilon
114,-8.3988,2.3563,1.0069,7.2073,8,66.7,20.8,0.0,4.2,8.3,0.0,0.1785
115,-117.0054,6.8158,3.8889,113.3703,7,4.2,0.0,37.5,4.2,54.2,0.0,0.1759
116,-1.0472,3.4063,0.0,1.2878,2,0.0,95.8,4.2,0.0,0.0,0.0,0.1732
117,-8.231,4.0888,1.1111,7.0065,10,0.0,70.8,12.5,4.2,8.3,4.2,0.1706
118,-87.4281,5.8183,0.4514,87.3995,3,0.0,0.0,91.7,8.3,0.0,0.0,0.1681
119,-22.2361,2.8375,0.4861,21.324,14,4.2,33.3,4.2,4.2,8.3,45.8,0.1655
120,-6.0319,3.2167,0.0347,6.0182,6,8.3,83.3,0.0,0.0,4.2,4.2,0.1631
121,-1.4114,3.7971,1.4931,0.0182,5,0.0,87.5,4.2,4.2,4.2,0.0,0.1606
122,-2.2442,2.5429,0.2431,1.8006,9,45.8,37.5,8.3,0.0,4.2,4.2,0.1582
123,-112.127,7.6092,8.7153,103.5983,8,0.0,0.0,4.2,16.7,75.0,4.2,0.1558
124,-7.872,3.4092,0.7986,7.2483,3,0.0,91.7,0.0,0.0,4.2,4.2,0.1535
125,-3.4696,1.385,0.0,3.1581,9,4.2,16.7,0.0,0.0,0.0,79.2,0.1512
126,-6.813,3.9925,1.0417,5.6998,9,8.3,66.7,12.5,8.3,4.2,0.0,0.1489
127,-5.059,3.2138,0.0,5.2804,2,0.0,95.8,0.0,0.0,0.0,4.2,0.1467
128,-6.9021,3.2167,0.3125,6.555,7,12.5,83.3,0.0,4.2,0.0,0.0,0.1445
129,-10.3311,3.695,0.0,10.4006,6,4.2,66.7,25.0,0.0,0.0,4.2,0.1423
130,-2.3472,2.26,1.6667,0.4732,8,70.8,16.7,0.0,4.2,8.3,0.0,0.1402
131,-4.6426,3.8933,0.9028,3.6111,10,4.2,75.0,12.5,4.2,4.2,0.0,0.1381
132,-1.5149,3.31,0.0,1.8459,0,0.0,100.0,0.0,0.0,0.0,0.0,0.136
133,-37.8674,7.4167,9.2708,28.8528,6,8.3,0.0,0.0,4.2,87.5,0.0,0.134
134,-4.6244,2.0588,0.0,4.4803,7,54.2,37.5,4.2,0.0,0.0,4.2,0.132
135,-5.2273,3.5054,0.6944,4.7695,2,0.0,95.8,0.0,4.2,0.0,0.0,0.13
136,-40.2629,7.6092,9.1667,31.4738,4,0.0,8.3,0.0,0.0,91.7,0.0,0.128
137,-6.2901,1.7758,1.0069,5.0406,8,83.3,8.3,0.0,8.3,0.0,0.0,0.1261
138,-6.8741,1.77,0.0,6.8011,5,66.7,33.3,0.0,0.0,0.0,0.0,0.1242
139,-0.5005,3.5025,0.0,0.7008,3,0.0,91.7,8.3,0.0,0.0,0.0,0.1224
140,-0.3571,3.6017,0.2431,0.1194,7,8.3,75.0,12.5,4.2,0.0,0.0,0.1205
141,-48.288,7.2154,8.4722,40.0679,6,0.0,4.2,12.5,33.3,45.8,4.2,0.1187
142,-56.8707,7.6092,8.75,48.5066,4,0.0,8.3,0.0,0.0,91.7,0.0,0.1169
143,-9.2487,1.6738,0.0,8.6161,16,29.2,29.2,0.0,0.0,0.0,41.7,0.1152
144,-1.2018,6.4192,1.5625,0.0,5,0.0,0.0,54.2,4.2,37.5,4.2,0.1135
145,-2.9152,1.2917,0.6597,2.2715,2,0.0,0.0,0.0,0.0,4.2,95.8,0.1118
146,-29.6005,5.5267,0.625,29.3157,4,0.0,0.0,91.7,4.2,0.0,4.2,0.1101
147,-10.6457,1.6767,0.7292,9.5196,11,16.7,16.7,0.0,0.0,4.2,62.5,0.1084
148,-10.8001,1.8692,0.4514,9.8266,14,0.0,25.0,0.0,0.0,4.2,70.8,0.1068
149,-88.4778,7.7083,9.3056,79.657,2,4.2,0.0,0.0,95.8,0.0,0.0,0.1052
150,-151.3192,7.8046,8.8889,142.933,2,0.0,4.2,0.0,95.8,0.0,0.0,0.1036
151,-3.2079,3.5083,0.8681,2.2733,8,4.2,83.3,0.0,0.0,8.3,4.2,0.1021
152,0.331,3.31,0.0,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.1005
153,-3.756,3.6046,1.3542,2.3352,8,8.3,79.2,4.2,4.2,4.2,0.0,0.099
154,-53.9508,5.7192,0.5208,53.8915,2,0.0,0.0,95.8,4.2,0.0,0.0,0.0975
155,-48.8631,5.62,0.0,49.4251,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0961
156,-4.9981,5.725,0.7292,4.5269,6,0.0,0.0,83.3,4.2,8.3,4.2,0.0946
157,-9.2673,4.4708,0.6597,8.7415,6,0.0,58.3,33.3,0.0,8.3,0.0,0.0932
158,-53.7432,5.7192,0.5903,53.613,2,0.0,0.0,95.8,4.2,0.0,0.0,0.0918
159,-2.3616,3.1175,0.0,2.4734,4,8.3,91.7,0.0,0.0,0.0,0.0,0.0904
160,-5.4966,3.6017,0.5903,5.0547,4,0.0,91.7,4.2,0.0,4.2,0.0,0.0891
161,-82.7613,7.125,8.125,74.8863,6,4.2,0.0,0.0,0.0,87.5,8.3,0.0877
162,-67.0118,6.9179,4.9653,62.289,7,0.0,4.2,25.0,0.0,66.7,4.2,0.0864
163,-70.5139,5.8242,2.1528,68.5005,8,0.0,0.0,79.2,4.2,12.5,4.2,0.0851
164,-2.1331,4.8529,0.1736,2.0913,7,0.0,37.5,58.3,4.2,0.0,0.0,0.0839
165,-21.6801,5.83,0.9028,20.5923,15,0.0,16.7,58.3,0.0,25.0,0.0,0.0826
166,-8.6425,2.0617,0.4514,8.2383,3,62.5,33.3,0.0,0.0,4.2,0.0,0.0814
167,-76.1884,5.4304,0.7292,75.6877,6,0.0,4.2,87.5,4.2,0.0,4.2,0.0801
168,-44.5115,6.215,1.2153,43.6934,4,0.0,0.0,75.0,0.0,25.0,0.0,0.0789
169,-32.4505,1.0,0.0,32.4505,2,95.8,0.0,0.0,0.0,0.0,4.2,0.0778
170,-3.1482,2.8317,0.4514,2.621,7,33.3,58.3,4.2,4.2,0.0,0.0,0.0766
171,-16.1499,7.3117,7.9861,8.3852,7,4.2,0.0,16.7,0.0,79.2,0.0,0.0754
172,0.1055,3.4092,0.0347,0.0,4,0.0,91.7,0.0,4.2,0.0,4.2,0.0743
173,-34.0157,5.4275,0.0,34.4585,2,4.2,0.0,95.8,0.0,0.0,0.0,0.0732
174,-8.1325,4.3746,0.8333,7.22,10,0.0,62.5,29.2,4.2,4.2,0.0,0.0721
175,-120.3576,5.8183,1.3542,119.4082,3,0.0,0.0,91.7,4.2,4.2,0.0,0.071
176,-35.2353,8.0,9.5833,26.2603,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0699
177,-2.0747,5.1417,0.0,2.2889,6,0.0,16.7,75.0,0.0,4.2,4.2,0.0689
178,-66.3374,8.0,9.5833,57.2624,2,0.0,0.0,0.0,4.2,95.8,0.0,0.0679
179,-0.0009,3.5054,0.2431,0.0035,2,0.0,95.8,0.0,0.0,4.2,0.0,0.0668
180,-58.7789,6.32,3.9931,54.838,10,0.0,0.0,58.3,0.0,37.5,4.2,0.0658
181,-25.7866,5.6433,1.2847,24.5905,9,4.2,25.0,37.5,0.0,33.3,0.0,0.0649
182,-85.0736,7.4108,7.1875,78.3334,3,0.0,0.0,12.5,0.0,83.3,4.2,0.0639
183,-28.8742,5.5267,0.4167,28.8019,4,0.0,0.0,91.7,0.0,4.2,4.2,0.0629
184,-4.2469,3.31,0.0,4.5779,0,0.0,100.0,0.0,0.0,0.0,0.0,0.062
185,-9.8193,4.5642,0.4167,9.7007,3,0.0,50.0,45.8,0.0,4.2,0.0,0.0611
186,-4.6545,5.3313,0.0,5.0376,3,0.0,4.2,91.7,0.0,0.0,4.2,0.0601
187,-1.123,3.3129,0.625,0.5168,6,0.0,87.5,0.0,0.0,4.2,8.3,0.0592
188,-48.773,5.235,0.0,49.1465,3,4.2,0.0,91.7,0.0,0.0,4.2,0.0583
189,-19.0108,4.7567,0.6944,18.5281,5,0.0,41.7,54.2,4.2,0.0,0.0,0.0575
190,-23.4806,2.54,0.0,23.1846,11,0.0,66.7,0.0,0.0,0.0,33.3,0.0566
191,-6.0109,2.4438,0.0,5.9053,7,4.2,54.2,4.2,0.0,0.0,37.5,0.0558
192,-32.1062,5.235,0.0,32.3797,5,4.2,8.3,87.5,0.0,0.0,0.0,0.0549
193,-43.0643,5.62,0.0,43.6263,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0541
194,0.3264,3.31,0.0,0.0046,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0533
195,-5.9977,3.5054,0.2778,5.9649,2,0.0,95.8,0.0,0.0,4.2,0.0,0.0525
196,-3.6556,3.1175,0.0,3.8174,3,0.0,91.7,0.0,0.0,0.0,8.3,0.0517
197,-0.8192,5.7192,0.0694,1.2203,2,0.0,0.0,95.8,0.0,4.2,0.0,0.0509
198,-66.9753,5.7192,0.0,67.4972,1,0.0,0.0,95.8,0.0,4.2,0.0,0.0502
199,-5.2358,3.2138,0.0,5.4572,2,4.2,95.8,0.0,0.0,0.0,0.0,0.0494
200,-0.5674,3.4092,0.6944,0.0,4,0.0,91.7,0.0,4.2,0.0,4.2,0.0487
201,-99.6919,5.4275,0.0,100.1347,2,4.2,0.0,95.8,0.0,0.0,0.0,0.0479
202,-1.8671,1.385,0.0,1.5056,10,12.5,16.7,0.0,0.0,0.0,70.8,0.0472
203,0.0478,5.62,0.0,0.5142,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0465
204,-5.4824,4.8529,0.5903,5.0156,7,0.0,37.5,58.3,0.0,4.2,0.0,0.0458
205,-18.1815,5.235,0.0,18.455,5,0.0,8.3,87.5,0.0,0.0,4.2,0.0451
206,-6.7446,1.8692,0.3472,5.8774,14,16.7,16.7,4.2,4.2,0.0,58.3,0.0444
207,-3.7878,1.0,0.0,3.8878,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0438
208,-2.8162,2.5429,0.0694,2.4497,11,0.0,54.2,0.0,4.2,0.0,41.7,0.0431
209,-27.4046,5.725,2.1875,25.4459,6,4.2,0.0,83.3,0.0,12.5,0.0,0.0425
210,0.1618,3.1175,0.0,0.0,3,8.3,91.7,0.0,0.0,0.0,0.0,0.0418
211,-3.8038,1.4813,0.0,3.5019,9,16.7,12.5,4.2,0.0,0.0,66.7,0.0412
212,-1.4998,5.7192,0.5208,1.4405,2,0.0,0.0,95.8,4.2,0.0,0.0,0.0406
213,-11.6544,5.8183,0.6597,11.3633,4,0.0,0.0,91.7,0.0,8.3,0.0,0.04
214,-74.2163,7.2067,8.6111,66.1036,1,0.0,0.0,33.3,0.0,66.7,0.0,0.0394
215,-0.2326,2.8288,0.0,0.0655,9,4.2,79.2,0.0,0.0,0.0,16.7,0.0388
216,-0.9001,3.5054,0.4514,0.6902,2,0.0,95.8,0.0,4.2,0.0,0.0,0.0382
217,-80.4616,5.5267,0.3472,80.5101,3,0.0,0.0,91.7,0.0,4.2,4.2,0.0376
218,-0.3019,1.4813,0.0,0.0,9,0.0,20.8,0.0,0.0,0.0,79.2,0.0371
219,-94.918,7.1104,8.6111,86.7457,2,0.0,4.2,29.2,0.0,66.7,0.0,0.0365
220,-13.2514,4.1763,0.0,13.519,3,0.0,62.5,37.5,0.0,0.0,0.0,0.036
221,-23.4589,5.5238,0.0,23.9613,1,0.0,4.2,95.8,0.0,0.0,0.0,0.0354
222,-20.6845,5.4275,0.0,21.1273,2,0.0,0.0,95.8,0.0,0.0,4.2,0.0349
223,-11.396,1.1925,0.0,11.2653,5,12.5,8.3,0.0,0.0,0.0,79.2,0.0344
224,-5.4859,5.62,0.0,6.0479,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0339
225,-69.9239,5.62,0.0,70.4859,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0334
226,-3.0516,3.3129,0.3125,2.8141,5,4.2,87.5,0.0,0.0,4.2,4.2,0.0329
227,-2.9888,2.6363,0.0,2.8024,9,0.0,70.8,0.0,0.0,0.0,29.2,0.0324
228,-5.1866,1.0,0.0,5.2366,1,4.2,0.0,0.0,0.0,0.0,95.8,0.0319
229,-4.5502,1.2917,0.4514,4.119,2,0.0,0.0,0.0,4.2,0.0,95.8,0.0314
230,-6.2231,3.4063,0.0,6.5137,1,0.0,95.8,4.2,0.0,0.0,0.0,0.0309
231,-2.3535,1.0,0.0,2.4535,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0305
232,-69.0707,5.62,0.0,69.6327,0,0.0,0.0,100.0,0.0,0.0,0.0,0.03
233,0.1,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0296
234,-56.0004,5.6229,0.4167,55.9377,4,0.0,4.2,91.7,0.0,4.2,0.0,0.0291
235,-0.5578,2.155,0.0,0.4233,7,0.0,50.0,0.0,0.0,0.0,50.0,0.0287
236,0.2102,5.62,0.0,0.3518,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0282
237,-10.8423,4.7538,0.0,11.1677,3,0.0,37.5,62.5,0.0,0.0,0.0,0.0278
238,-13.442,1.0,0.0,13.442,2,4.2,0.0,0.0,0.0,0.0,95.8,0.0274
239,-89.2747,5.62,0.0,89.8367,0,0.0,0.0,100.0,0.0,0.0,0.0,0.027
240,-160.5684,7.8046,8.7847,152.3384,1,0.0,4.2,0.0,0.0,95.8,0.0,0.0266
241,-4.836,3.0242,0.3472,4.2843,10,0.0,75.0,0.0,4.2,0.0,20.8,0.0262
242,0.2906,3.4063,0.0,0.0,1,0.0,95.8,4.2,0.0,0.0,0.0,0.0258
243,-3.137,3.31,0.0,3.168,6,0.0,83.3,8.3,0.0,0.0,8.3,0.0254
244,-67.244,5.62,0.0,67.806,0,0.0,0.0,100.0,0.0,0.0,0.0,0.025
245,-2.5401,1.1925,0.0,2.4094,5,8.3,0.0,4.2,0.0,0.0,87.5,0.0247
246,-165.5126,8.0,9.5833,156.5376,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0243
247,-56.3143,5.3371,0.5903,56.0459,4,0.0,20.8,70.8,4.2,4.2,0.0,0.0239
248,0.1,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0236
249,-111.0029,5.62,0.0,111.5649,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0232
250,-4.5346,1.0,0.0,4.4346,4,8.3,0.0,0.0,0.0,0.0,91.7,0.0229
251,0.1,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,100.0,0.0225
252,-0.3571,2.2513,0.0,0.1322,9,0.0,54.2,0.0,0.0,0.0,45.8,0.0222
253,-92.9962,3.31,0.0,93.3272,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0218
254,-56.2216,5.6288,1.7361,54.5636,9,4.2,4.2,79.2,4.2,8.3,0.0,0.0215
255,-0.6441,2.0588,0.0,0.0,17,0.0,45.8,0.0,0.0,0.0,54.2,0.0212
256,-12.7636,4.6575,0.0,13.0794,3,0.0,41.7,58.3,0.0,0.0,0.0,0.0209
257,-51.006,5.62,0.0,51.568,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0206
258,-0.2771,1.385,0.0,0.0656,7,0.0,16.7,0.0,0.0,0.0,83.3,0.0203
259,-37.4486,5.1388,0.0,37.7125,5,0.0,12.5,83.3,0.0,0.0,4.2,0.02
260,-1.5055,3.31,0.0,1.6865,3,0.0,91.7,4.2,0.0,0.0,4.2,0.02
